"Week","Team","Points","Home","Cumulative"
28,"Norwich",0,"Home",24
28,"Chelsea",3,"Away",39
28,"Sunderland",1,"Home",24
28,"Crystal Palace",1,"Away",33
28,"Arsenal",0,"Home",51
28,"Swansea",3,"Away",30
28,"Stoke",3,"Home",42
28,"Newcastle",0,"Away",25
28,"West Ham",3,"Home",46
28,"Tottenham",0,"Away",54
28,"Liverpool",3,"Home",44
28,"Manchester City",0,"Away",48
28,"Manchester United",3,"Home",47
28,"Watford",0,"Away",37
29,"Tottenham",1,"Home",55
29,"Arsenal",1,"Away",52
29,"Chelsea",1,"Home",40
29,"Stoke",1,"Away",43
29,"Everton",0,"Home",38
29,"West Ham",3,"Away",49
29,"Manchester City",3,"Home",51
29,"Aston Villa",0,"Away",16
29,"Newcastle",0,"Home",25
29,"Bournemouth",3,"Away",35
29,"Southampton",1,"Home",41
29,"Sunderland",1,"Away",25
29,"Swansea",3,"Home",33
29,"Norwich",0,"Away",24
29,"Watford",0,"Home",37
29,"Leicester",3,"Away",60
29,"Crystal Palace",0,"Home",33
29,"Liverpool",3,"Away",47
29,"West Bromwich",3,"Home",39
29,"Manchester United",0,"Away",47
30,"Norwich",1,"Home",25
30,"Manchester City",1,"Away",52
30,"Bournemouth",3,"Home",38
30,"Swansea",0,"Away",33
30,"Stoke",0,"Home",43
30,"Southampton",3,"Away",44
30,"Aston Villa",0,"Home",16
30,"Tottenham",3,"Away",58
30,"Leicester",3,"Home",63
30,"Newcastle",0,"Away",25
30,"West Ham",3,"Home",52
30,"Watford",0,"Away",37
30,"Manchester United",3,"Home",50
30,"Crystal Palace",0,"Away",33
30,"Arsenal",3,"Home",55
30,"West Bromwich",0,"Away",39
30,"Sunderland",3,"Home",28
30,"Everton",0,"Away",38
30,"Liverpool",1,"Home",48
30,"Chelsea",1,"Away",41
31,"Everton",0,"Home",38
31,"Arsenal",3,"Away",58
31,"Chelsea",1,"Home",42
31,"West Ham",1,"Away",53
31,"Crystal Palace",0,"Home",33
31,"Leicester",3,"Away",66
31,"Watford",0,"Home",37
31,"Stoke",3,"Away",46
31,"West Bromwich",0,"Home",39
31,"Norwich",3,"Away",28
31,"Swansea",3,"Home",36
31,"Aston Villa",0,"Away",16
31,"Newcastle",1,"Home",26
31,"Sunderland",1,"Away",29
31,"Southampton",3,"Home",47
31,"Liverpool",0,"Away",48
31,"Manchester City",0,"Home",52
31,"Manchester United",3,"Away",53
31,"Tottenham",3,"Home",61
31,"Bournemouth",0,"Away",38
32,"Aston Villa",0,"Home",16
32,"Chelsea",3,"Away",45
32,"Bournemouth",0,"Home",38
32,"Manchester City",3,"Away",55
32,"Arsenal",3,"Home",61
32,"Watford",0,"Away",37
32,"Norwich",3,"Home",31
32,"Newcastle",0,"Away",26
32,"Stoke",1,"Home",47
32,"Swansea",1,"Away",37
32,"Sunderland",1,"Home",30
32,"West Bromwich",1,"Away",40
32,"West Ham",1,"Home",54
32,"Crystal Palace",1,"Away",34
32,"Liverpool",1,"Home",49
32,"Tottenham",1,"Away",62
32,"Leicester",3,"Home",69
32,"Southampton",0,"Away",47
32,"Manchester United",3,"Home",56
32,"Everton",0,"Away",38
33,"West Ham",1,"Home",55
33,"Arsenal",1,"Away",62
33,"Aston Villa",0,"Home",16
33,"Bournemouth",3,"Away",41
33,"Crystal Palace",3,"Home",37
33,"Norwich",0,"Away",31
33,"Southampton",3,"Home",50
33,"Newcastle",0,"Away",26
33,"Swansea",3,"Home",40
33,"Chelsea",0,"Away",45
33,"Watford",1,"Home",38
33,"Everton",1,"Away",39
33,"Manchester City",3,"Home",58
33,"West Bromwich",0,"Away",40
33,"Sunderland",0,"Home",30
33,"Leicester",3,"Away",72
33,"Liverpool",3,"Home",52
33,"Stoke",0,"Away",47
33,"Tottenham",3,"Home",65
33,"Manchester United",0,"Away",56
34,"Norwich",0,"Home",31
34,"Sunderland",3,"Away",33
34,"Everton",1,"Home",40
34,"Southampton",1,"Away",51
34,"Manchester United",3,"Home",59
34,"Aston Villa",0,"Away",16
34,"Newcastle",3,"Home",29
34,"Swansea",0,"Away",40
34,"West Bromwich",0,"Home",40
34,"Watford",3,"Away",41
34,"Chelsea",0,"Home",45
34,"Manchester City",3,"Away",61
34,"Bournemouth",0,"Home",41
34,"Liverpool",3,"Away",55
34,"Leicester",1,"Home",73
34,"West Ham",1,"Away",56
34,"Arsenal",1,"Home",63
34,"Crystal Palace",1,"Away",38
34,"Stoke",0,"Home",47
34,"Tottenham",3,"Away",68
35,"Crystal Palace",1,"Home",39
35,"Everton",1,"Away",41
35,"Manchester City",3,"Home",64
35,"Stoke",0,"Away",47
35,"Bournemouth",0,"Home",41
35,"Chelsea",3,"Away",48
35,"Aston Villa",0,"Home",16
35,"Southampton",3,"Away",54
35,"Liverpool",1,"Home",56
35,"Newcastle",1,"Away",30
35,"Sunderland",1,"Home",34
35,"Arsenal",1,"Away",64
35,"Leicester",3,"Home",76
35,"Swansea",0,"Away",40
35,"Tottenham",1,"Home",69
35,"West Bromwich",1,"Away",41
35,"West Ham",3,"Home",59
35,"Manchester United",0,"Away",59
35,"Norwich",3,"Home",34
35,"Watford",0,"Away",41
36,"Everton",3,"Home",44
36,"Bournemouth",0,"Away",41
36,"Newcastle",3,"Home",33
36,"Crystal Palace",0,"Away",39
36,"Stoke",1,"Home",48
36,"Sunderland",1,"Away",35
36,"Watford",3,"Home",44
36,"Aston Villa",0,"Away",16
36,"West Bromwich",0,"Home",41
36,"West Ham",3,"Away",62
36,"Arsenal",3,"Home",67
36,"Norwich",0,"Away",34
36,"Swansea",3,"Home",43
36,"Liverpool",0,"Away",56
36,"Manchester United",1,"Home",60
36,"Leicester",1,"Away",77
36,"Southampton",3,"Home",57
36,"Manchester City",0,"Away",64
36,"Chelsea",1,"Home",49
36,"Tottenham",1,"Away",70
37,"Norwich",0,"Home",34
37,"Manchester United",3,"Away",63
37,"Bournemouth",1,"Home",42
37,"West Bromwich",1,"Away",42
37,"Aston Villa",1,"Home",17
37,"Newcastle",1,"Away",34
37,"Crystal Palace",3,"Home",42
37,"Stoke",0,"Away",48
37,"Sunderland",3,"Home",38
37,"Chelsea",0,"Away",49
37,"West Ham",0,"Home",62
37,"Swansea",3,"Away",46
37,"Leicester",3,"Home",80
37,"Everton",0,"Away",44
37,"Tottenham",0,"Home",70
37,"Southampton",3,"Away",60
37,"Liverpool",3,"Home",59
37,"Watford",0,"Away",44
37,"Manchester City",1,"Home",65
37,"Arsenal",1,"Away",68
38,"Arsenal",3,"Home",71
38,"Aston Villa",0,"Away",17
38,"Chelsea",1,"Home",50
38,"Leicester",1,"Away",81
38,"Everton",3,"Home",47
38,"Norwich",0,"Away",34
38,"Newcastle",3,"Home",37
38,"Tottenham",0,"Away",70
38,"Southampton",3,"Home",63
38,"Crystal Palace",0,"Away",42
38,"Stoke",3,"Home",51
38,"West Ham",0,"Away",62
38,"Swansea",1,"Home",47
38,"Manchester City",1,"Away",66
38,"Watford",1,"Home",45
38,"Sunderland",1,"Away",39
38,"West Bromwich",1,"Home",43
38,"Liverpool",1,"Away",60
38,"Manchester United",3,"Home",66
38,"Bournemouth",0,"Away",42
