"Week","Team","Points","Home","Cumulative"
20,"Liverpool",1,"Home",29
20,"Leicester",1,"Away",14
20,"Newcastle",1,"Home",27
20,"Burnley",1,"Away",17
20,"Tottenham",3,"Home",34
20,"Chelsea",0,"Away",46
21,"Sunderland",0,"Home",20
21,"Liverpool",3,"Away",32
21,"Burnley",3,"Home",20
21,"QPR",0,"Away",19
21,"Chelsea",3,"Home",49
21,"Newcastle",0,"Away",27
21,"Everton",1,"Home",22
21,"Manchester City",1,"Away",47
21,"Leicester",3,"Home",17
21,"Aston Villa",0,"Away",22
21,"Swansea",1,"Home",30
21,"West Ham",1,"Away",33
21,"West Bromwich",3,"Home",21
21,"Hull",0,"Away",19
21,"Crystal Palace",3,"Home",20
21,"Tottenham",0,"Away",34
21,"Arsenal",3,"Home",36
21,"Stoke",0,"Away",26
21,"Manchester United",0,"Home",37
21,"Southampton",3,"Away",39
22,"Aston Villa",0,"Home",22
22,"Liverpool",3,"Away",35
22,"Burnley",0,"Home",20
22,"Crystal Palace",3,"Away",23
22,"Leicester",0,"Home",17
22,"Stoke",3,"Away",29
22,"QPR",0,"Home",19
22,"Manchester United",3,"Away",40
22,"Swansea",0,"Home",30
22,"Chelsea",3,"Away",52
22,"Tottenham",3,"Home",37
22,"Sunderland",0,"Away",20
22,"Newcastle",0,"Home",27
22,"Southampton",3,"Away",42
22,"West Ham",3,"Home",36
22,"Hull",0,"Away",19
22,"Manchester City",0,"Home",47
22,"Arsenal",3,"Away",39
22,"Everton",1,"Home",23
22,"West Bromwich",1,"Away",22
23,"Hull",0,"Home",19
23,"Newcastle",3,"Away",30
23,"Crystal Palace",0,"Home",23
23,"Everton",3,"Away",26
23,"Liverpool",3,"Home",38
23,"West Ham",0,"Away",36
23,"Manchester United",3,"Home",43
23,"Leicester",0,"Away",17
23,"Stoke",3,"Home",32
23,"QPR",0,"Away",19
23,"Sunderland",3,"Home",23
23,"Burnley",0,"Away",20
23,"West Bromwich",0,"Home",22
23,"Tottenham",3,"Away",40
23,"Chelsea",1,"Home",53
23,"Manchester City",1,"Away",48
23,"Arsenal",3,"Home",42
23,"Aston Villa",0,"Away",22
23,"Southampton",0,"Home",42
23,"Swansea",3,"Away",33
24,"Tottenham",3,"Home",43
24,"Arsenal",0,"Away",42
24,"Aston Villa",0,"Home",22
24,"Chelsea",3,"Away",56
24,"Leicester",0,"Home",17
24,"Crystal Palace",3,"Away",26
24,"Manchester City",1,"Home",49
24,"Hull",1,"Away",20
24,"QPR",0,"Home",19
24,"Southampton",3,"Away",45
24,"Swansea",1,"Home",34
24,"Sunderland",1,"Away",24
24,"Everton",1,"Home",27
24,"Liverpool",1,"Away",39
24,"Burnley",1,"Home",21
24,"West Bromwich",1,"Away",23
24,"Newcastle",1,"Home",31
24,"Stoke",1,"Away",33
24,"West Ham",1,"Home",37
24,"Manchester United",1,"Away",44
25,"Arsenal",3,"Home",45
25,"Leicester",0,"Away",17
25,"Hull",3,"Home",23
25,"Aston Villa",0,"Away",22
25,"Sunderland",0,"Home",24
25,"QPR",3,"Away",22
25,"Liverpool",3,"Home",42
25,"Tottenham",0,"Away",43
25,"Chelsea",3,"Home",59
25,"Everton",0,"Away",27
25,"Manchester United",3,"Home",47
