Liverpool     3-2 Aston Villa   
Manchester U  3-0 Sunderland    
Southampton   3-1 Swansea       
Stoke         2-1 Bournemouth   
West Ham      2-2 Norwich       
Newcastle     2-2 Chelsea       
[Sep 27]
Watford       0-1 Crystal P      
[Sep 28]
West Bromwich 2-3 Everton       
Round 8
[Oct 3]
Crystal P     2-0 West Bromwich 
Bournemouth   1-1 Watford       
Aston Villa   0-1 Stoke         
Manchester C  6-1 Newcastle     
Norwich       1-2 Leicester     
Sunderland    2-2 West Ham      
Chelsea       1-3 Southampton   
[Oct 4]
Everton       1-1 Liverpool     
Arsenal       3-0 Manchester U  
Swansea       2-2 Tottenham     
Round 9
[Oct 17]
Tottenham     0-0 Liverpool     
Chelsea       2-0 Aston Villa   
Crystal P     1-3 West Ham      
Everton       0-3 Manchester U  
Manchester C  5-1 Bournemouth   
Southampton   2-2 Leicester     
West Bromwich 1-0 Sunderland    
Watford       0-3 Arsenal       
[Oct 18]
Newcastle     6-2 Norwich       
[Oct 19]
Swansea       0-1 Stoke         
Round 10
[Oct 24]
Aston Villa   1-2 Swansea       
Leicester     1-0 Crystal P     
Norwich       0-1 West Bromwich 
Stoke         0-2 Watford       
West Ham      2-1 Chelsea       
Arsenal       2-1 Everton       
[Oct 25]
Sunderland    3-0 Newcastle     
Bournemouth   1-5 Tottenham     
Manchester U  0-0 Manchester C  
Liverpool     1-1 Southampton   
Round 11
[Oct 31]
Chelsea       1-3 Liverpool     
Crystal P     0-0 Manchester U  
Manchester C  2-1 Norwich       
Newcastle     0-0 Stoke         
Swansea       0-3 Arsenal       
Watford       2-0 West Ham      
West Bromwich 2-3 Leicester     
[Nov 1]
Everton       6-2 Sunderland    
Southampton   2-0 Bournemouth   
[Nov 2]
Tottenham     3-1 Aston Villa   
Round 12
[Nov 7]
Bournemouth   0-1 Newcastle     
Leicester     2-1 Watford       
Manchester U  2-0 West Bromwich 
Norwich       1-0 Swansea       
Sunderland    0-1 Southampton   
West Ham      1-1 Everton       
Stoke         1-0 Chelsea       
[Nov 8]
Aston Villa   0-0 Manchester C  
Arsenal       1-1 Tottenham     
Liverpool     1-2 Crystal P     
Round 13
[Nov 21]
Watford       1-2 Manchester U  
Chelsea       1-0 Norwich       
Everton       4-0 Aston Villa   
Newcastle     0-3 Leicester     
Southampton   0-1 Stoke         
Swansea       2-2 Bournemouth   
West Bromwich 2-1 Arsenal       
Manchester C  1-4 Liverpool     
[Nov 22]
Tottenham     4-1 West Ham      
[Nov 23]
Crystal P     0-1 Sunderland    
Round 14
[Nov 28]
Bournemouth   3-3 Everton       
Aston Villa   2-3 Watford       
Crystal P     5-1 Newcastle     
Manchester C  3-1 Southampton   
Sunderland    2-0 Stoke         
Leicester     1-1 Manchester U  
[Nov 29]
Tottenham     0-0 Chelsea       
West Ham      1-1 West Bromwich 
Liverpool     1-0 Swansea       
Norwich       1-1 Arsenal       
Round 15
[Dec 5]
Stoke         2-0 Manchester C  
Arsenal       3-1 Sunderland    
Manchester U  0-0 West Ham      
Southampton   1-1 Aston Villa   
Swansea       0-3 Leicester     
Watford       2-0 Norwich       
West Bromwich 1-1 Tottenham     
Chelsea       0-1 Bournemouth   
[Dec 6]
Newcastle     2-0 Liverpool     
[Dec 7]
Everton       1-1 Crystal P     
Round 16
[Dec 12]
Norwich       1-1 Everton       
Crystal P     1-0 Southampton   
Manchester C  2-1 Swansea       
Sunderland    0-1 Watford       
West Ham      0-0 Stoke         
Bournemouth   2-1 Manchester U  
[Dec 13]
Aston Villa   0-2 Arsenal       
Liverpool     2-2 West Bromwich 
Tottenham     1-2 Newcastle     
[Dec 14]
Leicester     2-1 Chelsea       
Round 17
[Dec 19]
Chelsea       3-1 Sunderland    
Everton       2-3 Leicester     
Manchester U  1-2 Norwich       
Southampton   0-2 Tottenham     
Stoke         1-2 Crystal P     
